# Threads,OCC + SV [T1],OCC + SV [T2],OCC + SV [T3],OCC + SV [T4],OCC + SV [T5],OCC + CU + SV [T1],OCC + CU + SV [T2],OCC + CU + SV [T3],OCC + CU + SV [T4],OCC + CU + SV [T5],OCC [T1],OCC [T2],OCC [T3],OCC [T4],OCC [T5],OCC + CU [T1],OCC + CU [T2],OCC + CU [T3],OCC + CU [T4],OCC + CU [T5]
1,26060.00,26834.76,26885.42,26795.06,26830.58,26710.75,26848.18,26403.44,26728.99,26533.50,27106.23,27288.19,27189.00,27059.16,27241.37,27009.88,27259.94,27279.86,26847.31,27132.10
2,50404.41,50100.30,51038.63,49254.52,50268.30,50538.70,50192.00,50166.37,50941.05,49841.42,51371.27,50283.97,50870.90,51193.57,50826.41,50657.71,50901.05,51537.08,49876.20,51535.51
4,103222.26,100570.15,102813.96,101585.81,103523.67,99456.60,101305.25,101882.56,100604.04,102037.43,101149.21,102948.29,103606.94,101902.84,103952.73,103630.80,103329.16,104069.05,104348.20,102312.47
12,284230.19,286466.47,285756.51,290117.24,283899.93,284454.98,282745.63,277252.72,277311.39,285740.36,289407.92,285341.19,286022.29,284966.34,282081.96,286687.79,281476.33,289600.79,286572.32,281582.51
24,509073.63,502229.60,510713.39,503439.43,512739.30,512885.46,503009.84,507408.46,509767.07,507649.17,507624.29,513149.04,495621.73,511978.72,511779.08,509878.32,513510.89,516669.26,519050.28,514702.02
32,622701.63,610724.55,602593.94,618242.65,610354.41,617214.44,613963.79,633547.20,608561.10,623059.08,608056.90,610141.29,621668.70,614891.90,610469.20,634440.59,619020.58,633909.88,614000.81,622041.59
40,602536.76,605009.98,619708.56,618581.08,606010.36,658524.10,652156.13,659604.69,630433.45,641085.18,619937.26,613109.36,620769.95,613008.77,620685.18,669669.78,646692.99,633167.81,658520.96,644394.03
48,603015.95,608176.42,610942.84,605679.26,609365.98,669916.98,656273.87,668946.95,669194.29,657049.03,603991.17,609071.66,598381.00,610652.19,606753.41,671279.74,675684.18,684876.01,668413.75,684187.34
64,582454.77,572152.04,578551.93,570827.34,569104.69,678105.41,675427.64,670693.28,676603.14,678457.90,542139.22,566576.70,559802.87,572163.02,565148.28,670453.66,679281.74,679629.89,692636.17,677423.62
