# Threads,TicToc (W1) [T1],TicToc (W1) [T2],TicToc (W1) [T3],TicToc (W1) [T4],TicToc (W1) [T5],TicToc + CU (W1) [T1],TicToc + CU (W1) [T2],TicToc + CU (W1) [T3],TicToc + CU (W1) [T4],TicToc + CU (W1) [T5],TicToc (W4) [T1],TicToc (W4) [T2],TicToc (W4) [T3],TicToc (W4) [T4],TicToc (W4) [T5],TicToc + CU (W4) [T1],TicToc + CU (W4) [T2],TicToc + CU (W4) [T3],TicToc + CU (W4) [T4],TicToc + CU (W4) [T5],TicToc (W0) [T1],TicToc (W0) [T2],TicToc (W0) [T3],TicToc (W0) [T4],TicToc (W0) [T5],TicToc + CU (W0) [T1],TicToc + CU (W0) [T2],TicToc + CU (W0) [T3],TicToc + CU (W0) [T4],TicToc + CU (W0) [T5],TicToc (W1) + ST [T1],TicToc (W1) + ST [T2],TicToc (W1) + ST [T3],TicToc (W1) + ST [T4],TicToc (W1) + ST [T5],TicToc + CU (W1) + ST [T1],TicToc + CU (W1) + ST [T2],TicToc + CU (W1) + ST [T3],TicToc + CU (W1) + ST [T4],TicToc + CU (W1) + ST [T5],TicToc (W4) + ST [T1],TicToc (W4) + ST [T2],TicToc (W4) + ST [T3],TicToc (W4) + ST [T4],TicToc (W4) + ST [T5],TicToc + CU (W4) + ST [T1],TicToc + CU (W4) + ST [T2],TicToc + CU (W4) + ST [T3],TicToc + CU (W4) + ST [T4],TicToc + CU (W4) + ST [T5],TicToc (W0) + ST [T1],TicToc (W0) + ST [T2],TicToc (W0) + ST [T3],TicToc (W0) + ST [T4],TicToc (W0) + ST [T5],TicToc + CU (W0) + ST [T1],TicToc + CU (W0) + ST [T2],TicToc + CU (W0) + ST [T3],TicToc + CU (W0) + ST [T4],TicToc + CU (W0) + ST [T5]
1,129378.26,129174.95,130442.43,135835.04,135752.50,143243.56,143273.24,142914.73,142910.37,144103.31,137009.78,130128.21,136039.10,135599.41,134076.51,150438.26,145596.30,147547.18,145187.72,148865.94,134399.15,132347.77,136243.88,134640.32,137186.33,145557.82,142993.90,143202.24,144595.58,141178.41,114477.49,115573.51,115676.39,115245.09,115694.29,120049.98,117329.13,115018.52,118807.77,120290.65,121260.80,120052.40,119520.70,119744.44,119993.05,121934.93,123895.94,123689.70,121552.15,121155.09,115984.31,117380.43,116069.59,118049.14,116521.95,120767.85,118795.65,117741.91,119856.60,120120.04
2,224944.07,227063.64,227331.08,223911.76,222195.42,239154.14,242890.94,241106.29,239284.87,241093.04,258253.53,255620.31,255974.33,252557.24,254120.94,279567.77,274724.89,277757.94,277763.99,275191.73,247716.87,249153.28,250587.44,247869.84,248367.76,266338.17,267885.90,261371.98,267748.75,264301.81,194524.14,200206.34,200316.39,201176.24,200179.30,207744.91,206645.46,207404.77,207739.50,206056.98,224236.79,225715.50,226744.74,224857.30,225641.04,228377.70,231881.40,231535.24,228021.63,228227.25,216110.27,216556.23,214083.36,213739.17,213967.62,218584.67,221515.54,219979.77,221439.40,219825.88
4,411691.60,412921.83,406661.97,408869.68,412284.54,440725.73,436606.55,433657.93,440285.34,441259.37,490930.31,486509.35,487605.28,492019.27,491950.35,524529.56,524437.78,519974.09,523144.03,525381.17,486736.37,486642.77,490762.71,490982.65,492910.70,526332.19,525459.92,519159.35,526248.45,525671.67,384947.18,385454.54,385665.03,382761.24,382446.10,414408.37,415142.55,412837.50,415602.84,412468.00,421228.25,420871.35,421297.98,423765.66,424971.19,436195.08,433660.12,433872.72,434355.27,431481.86,424165.99,424564.42,422547.94,421463.44,422711.42,434320.82,435775.92,434697.94,430119.90,434088.45
12,699101.27,699798.71,692229.37,690193.05,696412.45,735702.95,735774.26,717233.55,722991.43,740739.12,1136555.52,1135324.31,1136741.74,1127940.66,1135022.94,1229198.69,1226461.03,1214657.02,1226320.17,1227810.25,1315130.36,1311241.33,1313475.58,1317005.08,1314936.89,1428596.06,1429799.43,1431141.96,1415553.25,1423507.26,634473.29,631335.24,641769.65,626413.13,628877.83,1126299.86,1141648.86,1118937.42,1139319.49,1138795.52,1024678.38,1029314.65,1037602.62,1039756.94,1032065.08,1094843.23,1095471.53,1099280.85,1102951.44,1104161.58,1131195.55,1125016.80,1133735.35,1134507.41,1133761.91,1164169.84,1162633.25,1158322.85,1156793.99,1160419.97
24,764869.48,754574.77,767428.87,765281.80,759655.71,782145.79,785668.80,792247.75,794712.35,789408.77,1807822.73,1806397.02,1803068.28,1796238.09,1797642.68,1899370.47,1927830.59,1914699.39,1916964.76,1925063.30,2478315.28,2480393.56,2478351.30,2476527.53,2480402.81,2687158.46,2691026.41,2686731.91,2698136.15,2695806.90,682244.00,678605.54,682002.40,682134.67,682072.04,1278625.12,1287274.87,1266501.07,1270634.87,1291438.42,1685098.58,1688559.60,1690082.07,1686561.48,1679503.53,2079247.90,2086993.13,2083224.06,2081274.08,2085416.62,2129412.48,2131605.97,2134330.39,2129231.74,2137213.95,2189041.49,2182208.16,2181694.02,2188441.91,2185021.30
32,780135.11,777425.01,772619.63,776257.82,772066.25,797613.21,806688.95,801492.96,799521.09,808355.54,2065915.14,2087152.85,2080262.88,2079137.47,2083237.48,2200539.54,2206446.11,2208223.91,2203918.07,2205448.70,3212594.11,3211315.11,3210183.05,3199467.91,3212442.74,3495314.22,3494788.63,3497073.86,3494075.05,3497990.06,691187.81,693071.01,690211.02,690728.51,694753.05,1309064.83,1332170.32,1332755.50,1337528.31,1355124.98,1936114.05,1933976.96,1937316.71,1932925.10,1931755.37,2693504.54,2686724.55,2697509.07,2686683.56,2674410.30,2770527.88,2769190.46,2759054.16,2767574.30,2762015.17,2839037.81,2838111.05,2835262.65,2834323.89,2833327.67
40,727675.30,722509.91,725954.83,728762.83,731673.61,760544.26,748590.34,752711.26,754510.14,754195.77,2034985.72,2028791.92,2042294.60,2056013.89,2044703.04,2149454.40,2153767.46,2143901.83,2126302.53,2153478.82,3493034.92,3504878.57,3501591.68,3501607.19,3504612.21,3785540.46,3777459.96,3790494.99,3778433.18,3779863.30,645380.13,648421.27,646119.82,652936.90,650095.53,1272313.47,1269346.57,1271591.88,1280343.75,1284156.93,1901404.61,1891629.80,1891930.12,1904242.30,1884265.03,3000152.09,3009963.30,2988803.30,3007857.85,3000429.49,3024523.94,3029794.20,3026633.89,3027737.19,3026457.34,3105856.46,3099321.70,3096879.50,3101299.96,3107313.60
48,682089.84,683876.16,687650.67,684748.72,686144.03,704573.03,698961.56,710866.31,710053.59,706058.94,1987329.05,1984314.62,1983063.39,1978062.44,1978468.45,2081786.92,2071998.85,2070522.81,2070234.06,2080852.68,3793100.62,3791606.75,3787469.87,3771377.71,3779427.17,4065460.55,4073461.93,4078918.58,4057251.67,4075484.35,607708.99,607842.93,609086.56,603574.02,603599.76,1233912.50,1202336.05,1225665.30,1217595.85,1204781.63,1827474.27,1831451.48,1835298.32,1834912.41,1838011.35,3236220.81,3244211.40,3236012.64,3239828.90,3221039.17,3294219.02,3284298.90,3286907.82,3297394.13,3288840.85,3374478.35,3368613.06,3373512.37,3371739.99,3372785.62
64,606191.98,612500.56,607993.45,609109.36,611268.70,633741.54,634351.87,634987.47,636806.28,630501.08,1901727.41,1901254.43,1906977.53,1894920.60,1903683.18,1989381.63,1991822.40,1986674.77,1979984.55,1987551.18,4361547.50,4351605.62,4372760.00,4349693.93,4370756.12,4644409.71,4648536.27,4646293.06,4610447.65,4646474.08,535081.60,538135.71,534148.66,532453.13,535231.17,1103817.50,1122020.53,1144155.18,1112078.73,1124360.51,1723909.28,1712829.80,1716974.81,1717184.28,1704114.59,3594377.76,3608707.58,3596742.95,3580470.72,3591849.57,3814287.32,3817619.56,3814471.83,3812126.44,3806009.51,3894957.09,3900105.77,3903306.12,3890401.33,3894314.25
