# Threads,Cicada (W4) [T1],Cicada (W4) [T2],Cicada (W4) [T3],Cicada (W4) [T4],Cicada (W4) [T5]
1,0.079,0.078,0.078,0.077,0.079
2,0.149,0.149,0.149,0.149,0.149
4,0.272,0.273,0.273,0.271,0.273
12,0.683,0.704,0.699,0.697,0.702
24,1.024,1.029,1.029,1.033,1.025
32,1.218,1.225,1.210,1.221,1.235
40,1.225,1.210,1.216,1.214,1.217
48,1.256,1.250,1.245,1.235,1.248
64,1.191,1.185,1.200,1.203,1.233
