# Threads,ERMIA (W0) [T1],ERMIA (W0) [T2],ERMIA (W0) [T3],ERMIA (W0) [T4],ERMIA (W0) [T5]
1,34536,34771.9,34422.1,34538.3,34633
2,67429.6,67422.7,67454.4,67211.7,67422.7
4,129317,129544,130819,130729,129620
8,255505,254317,253349,254346,255615
16,476746,477330,476239,476512,474927
24,678186,677598,676389,675292,677471
32,832197,849144,860794,843459,861020
48,,,,,
64,,,,,
