# Threads,OCC + SV [T1],OCC + SV [T2],OCC + SV [T3],OCC + SV [T4],OCC + SV [T5],OCC + SV [T6],OCC + SV [T7],OCC + SV [T8],OCC + SV [T9],OCC + SV [T10],OCC + CU + SV [T1],OCC + CU + SV [T2],OCC + CU + SV [T3],OCC + CU + SV [T4],OCC + CU + SV [T5],OCC + CU + SV [T6],OCC + CU + SV [T7],OCC + CU + SV [T8],OCC + CU + SV [T9],OCC + CU + SV [T10],OCC [T1],OCC [T2],OCC [T3],OCC [T4],OCC [T5],OCC [T6],OCC [T7],OCC [T8],OCC [T9],OCC [T10],OCC + CU [T1],OCC + CU [T2],OCC + CU [T3],OCC + CU [T4],OCC + CU [T5],OCC + CU [T6],OCC + CU [T7],OCC + CU [T8],OCC + CU [T9],OCC + CU [T10]
1,661938.59,660499.68,651148.86,667099.83,667726.93,666519.28,648063.88,662609.72,668192.39,668463.39,679215.67,681136.36,682362.24,680104.35,674912.34,681123.84,681959.31,679627.06,670936.55,683658.73,663581.99,663986.71,664235.16,654743.27,655723.44,659941.50,655102.18,662457.72,662224.17,662954.63,679781.27,687829.34,685250.39,683169.54,680343.12,686613.54,684580.93,684754.34,682066.49,686959.10
2,1098786.09,1122847.18,1116319.74,1112007.25,1105683.60,1123935.29,1097960.04,1119553.25,1124041.44,1123070.04,1136721.41,1148486.96,1150239.49,1158179.50,1144629.21,1140112.21,1143420.62,1119675.51,1130235.45,1128060.32,1094404.53,1100674.56,1097455.96,1108846.21,1110179.01,1085186.20,1108323.46,1109635.31,1106010.69,1091400.07,1154698.45,1130627.20,1149041.25,1130010.51,1149323.72,1145661.76,1148551.01,1158698.40,1156401.69,1127571.57
4,2242834.35,2234753.14,2194152.99,2213083.82,2242631.32,2193334.40,2243765.35,2238687.68,2221911.83,2245908.34,2299457.31,2261950.33,2301101.38,2289093.47,2284342.95,2268487.72,2261147.18,2265492.63,2266821.27,2296005.22,2170184.22,2186992.05,2206455.99,2172501.96,2162977.23,2197407.29,2205874.09,2214423.48,2216620.55,2215008.62,2322181.35,2330105.87,2322458.25,2307755.27,2320758.46,2300430.62,2320920.60,2287345.27,2311259.38,2287839.51
12,5259412.13,5304310.69,5450109.61,5424473.42,5444535.24,5300725.66,5518598.54,5204843.46,5300205.06,5474018.25,5648311.73,5901410.20,5786939.56,5635206.07,5915098.71,5679516.51,5731153.88,5761630.97,5935622.46,5807590.30,5112589.07,5337291.91,5346594.30,5169700.34,5109286.02,5245694.39,5333991.22,5110202.37,5347063.82,5268706.23,6001139.21,5777882.19,5949493.71,5932031.48,5993977.68,5833580.92,5923949.52,5949245.85,5947729.58,5887181.15
24,6870134.95,6849189.36,6711899.90,6960333.68,6765748.61,6669111.68,6858116.79,6625493.35,6855397.00,6731003.86,8968989.30,9087766.21,9158429.66,9198265.67,9207899.60,8695783.25,8720377.63,8941844.27,8606263.39,8924307.75,6564727.85,6608248.38,6425619.02,6344034.02,6305367.44,6659116.10,6685760.85,6711442.58,6383208.88,6310669.47,9263079.00,9175018.33,8928599.70,9000200.81,9069002.51,8995612.68,8792129.40,9298532.16,9012088.93,9167352.76
32,6725921.75,6926618.00,6992093.13,6952654.73,6891210.83,6862952.70,6886736.26,6646643.31,6751802.75,6942636.55,9851873.18,9884595.32,9759667.93,10128433.87,9980973.58,9455670.84,9985704.22,9805094.97,10086919.51,9559171.53,6466990.65,6736632.17,6702458.28,6756559.61,6652715.22,6668227.53,6639757.24,6628123.18,6592347.31,6543241.02,9715919.34,10150268.93,9512015.80,9494493.04,9859651.51,9640542.16,9925746.63,10015914.86,9881007.87,10037673.57
40,6588014.60,6435114.84,6600997.20,6702945.33,6428548.03,6567509.97,6495914.47,6541634.65,6586243.16,6534005.01,10211936.05,10044968.25,10253175.40,10598380.45,10274399.37,10016185.13,10609486.63,10218343.50,10375216.69,10248160.21,6464572.19,6308186.62,6224678.44,6396919.95,6181123.07,6395702.63,6186726.00,6406711.51,6317733.51,6205264.57,10051869.97,10258687.76,10127611.00,10283729.12,9753216.68,9896748.23,10367263.44,10108690.94,10242266.10,10066782.69
48,6345323.11,6285973.38,6451176.94,6355551.08,6354918.12,6433098.86,6357846.96,6353440.48,6346487.21,6392544.78,10306024.82,10450933.86,10864965.77,9923099.65,10534506.71,10576744.99,10513058.74,10802671.61,10327135.48,10244256.03,6205865.37,6023706.49,6228813.50,6331069.93,6219796.82,6023544.65,6122133.79,6260857.63,6300343.17,6323545.35,10426689.98,11017280.62,10030832.83,10184653.37,10134944.11,10504314.92,10456042.50,10431661.95,10513175.90,10950048.53
64,6086722.66,6122791.07,6082605.09,6037406.52,5977959.16,5987544.41,5982718.97,6161577.77,6098973.08,5923135.69,11061296.07,10351314.20,10615198.94,10590414.38,10604262.12,10765662.34,10887013.70,10585457.28,10944002.41,10979801.23,5852876.34,5869277.53,6007238.60,5769020.45,5925621.62,5916720.63,5877479.26,5948585.37,6058457.65,5721508.21,10958269.95,10638588.54,10222991.44,10871307.89,10609312.81,10626554.68,10488854.33,10859157.74,10540179.59,10946921.31
