# Threads,Cicada (W1) [T1],Cicada (W1) [T2],Cicada (W1) [T3],Cicada (W1) [T4],Cicada (W1) [T5]
1,0.077,0.076,0.076,0.077,0.078
2,0.138,0.139,0.140,0.140,0.138
4,0.234,0.237,0.238,0.229,0.235
12,0.484,0.484,0.486,0.484,0.485
24,0.559,0.563,0.562,0.560,0.560
32,0.582,0.546,0.575,0.581,0.586
40,0.535,0.530,0.534,0.533,0.531
48,0.478,0.474,0.477,0.477,0.462
64,0.395,0.391,0.399,0.391,0.401
