# Threads,ERMIA (W1) [T1],ERMIA (W1) [T2],ERMIA (W1) [T3],ERMIA (W1) [T4],ERMIA (W1) [T5]
1,33672.1,34730.8,34697.6,34733.7,32775.9
2,59765.3,59333.5,59406,59847.6,59874.3
4,91984.8,92231.3,92341.3,92110.4,92395.2
8,108100,107102,108069,108563,107738
16,86896.2,86472.1,86912.8,86487.5,86496.9
24,55282.9,56198.2,55858.7,55902.1,56160.8
32,43892.5,43625.1,43790.3,43512,43741.2
48,,,,,
64,,,,,
