# Threads,TicToc + SV [T1],TicToc + SV [T2],TicToc + SV [T3],TicToc + SV [T4],TicToc + SV [T5],TicToc + CU + SV [T1],TicToc + CU + SV [T2],TicToc + CU + SV [T3],TicToc + CU + SV [T4],TicToc + CU + SV [T5],TicToc [T1],TicToc [T2],TicToc [T3],TicToc [T4],TicToc [T5],TicToc + CU [T1],TicToc + CU [T2],TicToc + CU [T3],TicToc + CU [T4],TicToc + CU [T5]
1,25639.27,25304.55,25465.99,24965.95,25293.21,24809.72,25177.48,25296.52,24819.83,25502.95,25333.08,25149.62,25338.00,25400.38,25192.09,25302.79,25515.66,25004.76,25312.17,25463.45
2,47163.97,47255.11,47464.85,48005.37,47531.75,48138.92,48078.68,48089.51,48117.19,47873.47,47407.01,47191.12,47383.86,47433.86,47314.20,47270.78,47866.99,48115.78,47295.94,47591.30
4,94490.03,96923.83,94977.57,93937.19,95699.75,95092.92,94985.66,96092.96,94940.12,94303.17,95977.85,94505.32,94734.83,95996.35,94487.58,96417.61,94193.90,95237.01,95205.14,94895.55
12,261172.73,258516.99,261068.05,259289.18,257984.16,264023.53,262635.97,260166.44,266744.74,265659.39,260293.25,260155.51,258410.53,257991.45,258472.90,266017.77,260378.96,263799.34,263120.25,259377.08
24,430158.47,426983.05,429176.65,435197.59,432377.84,457499.87,453289.20,457580.59,459895.39,456795.30,422201.93,422685.27,430089.72,426562.51,429318.97,460087.38,457590.93,457024.64,461604.05,459867.92
32,480096.12,485045.34,483154.99,479135.14,479567.60,554898.03,557487.57,555683.63,553589.46,553747.44,478445.98,478447.00,477654.51,484500.10,482802.53,557853.65,549361.88,541821.07,548584.42,545225.89
40,452869.89,457746.75,450961.28,442010.92,453823.10,573931.64,570001.03,574911.07,563713.74,563663.13,453255.42,443707.32,456876.15,453590.60,447247.50,548384.80,560604.20,565898.38,568339.46,570406.73
48,437031.96,434108.09,435770.90,431641.79,439656.98,566336.67,579730.54,579010.60,571953.98,573782.98,424937.82,426987.24,424894.77,430081.97,425750.70,572793.82,569762.03,572324.19,571859.58,567915.52
64,385906.64,386796.92,382698.42,382002.38,386319.75,582003.58,578066.65,571661.37,577294.96,576392.35,377094.97,383850.07,375171.02,374212.06,375456.29,573659.82,582752.69,582620.13,573969.67,584192.29
