# Threads,ERMIA (W0) [T1],ERMIA (W0) [T2],ERMIA (W0) [T3],ERMIA (W0) [T4],ERMIA (W0) [T5]
1,32899.3,32846.3,32822,32865,32950.9
2,63925.6,63509,64035.9,64044.3,64111.3
4,124492,124817,122112,123711,123992
12,344440,351463,350114,349367,349548
24,651389,641577,653464,645583,646593
32,811373,799720,811960,774532,811988
40,,,,,
48,,,,,
64,,,,,
