# Threads,TicToc (W1) [T1],TicToc (W1) [T2],TicToc (W1) [T3],TicToc (W1) [T4],TicToc (W1) [T5],TicToc + CU (W1) [T1],TicToc + CU (W1) [T2],TicToc + CU (W1) [T3],TicToc + CU (W1) [T4],TicToc + CU (W1) [T5],TicToc (W4) [T1],TicToc (W4) [T2],TicToc (W4) [T3],TicToc (W4) [T4],TicToc (W4) [T5],TicToc + CU (W4) [T1],TicToc + CU (W4) [T2],TicToc + CU (W4) [T3],TicToc + CU (W4) [T4],TicToc + CU (W4) [T5],TicToc (W0) [T1],TicToc (W0) [T2],TicToc (W0) [T3],TicToc (W0) [T4],TicToc (W0) [T5],TicToc + CU (W0) [T1],TicToc + CU (W0) [T2],TicToc + CU (W0) [T3],TicToc + CU (W0) [T4],TicToc + CU (W0) [T5],TicToc (W1) + SV [T1],TicToc (W1) + SV [T2],TicToc (W1) + SV [T3],TicToc (W1) + SV [T4],TicToc (W1) + SV [T5],TicToc + CU (W1) + SV [T1],TicToc + CU (W1) + SV [T2],TicToc + CU (W1) + SV [T3],TicToc + CU (W1) + SV [T4],TicToc + CU (W1) + SV [T5],TicToc (W4) + SV [T1],TicToc (W4) + SV [T2],TicToc (W4) + SV [T3],TicToc (W4) + SV [T4],TicToc (W4) + SV [T5],TicToc + CU (W4) + SV [T1],TicToc + CU (W4) + SV [T2],TicToc + CU (W4) + SV [T3],TicToc + CU (W4) + SV [T4],TicToc + CU (W4) + SV [T5],TicToc (W0) + SV [T1],TicToc (W0) + SV [T2],TicToc (W0) + SV [T3],TicToc (W0) + SV [T4],TicToc (W0) + SV [T5],TicToc + CU (W0) + SV [T1],TicToc + CU (W0) + SV [T2],TicToc + CU (W0) + SV [T3],TicToc + CU (W0) + SV [T4],TicToc + CU (W0) + SV [T5]
1,124594.11,123503.48,124896.89,124748.54,124791.99,129756.42,130286.60,130522.26,130662.74,129680.20,128839.37,127745.86,128297.71,129074.41,128684.46,134269.76,134642.56,133367.67,133850.76,134471.38,124727.31,123061.03,123050.47,124110.51,124285.58,130491.53,130062.14,130575.70,130699.84,130680.99,116046.77,116296.93,115818.33,116038.11,115763.69,119888.75,119396.07,119834.42,119913.41,120045.77,124397.07,124346.30,124513.02,124691.31,123902.30,126449.46,126722.60,126745.01,127049.83,126605.96,115037.13,112968.66,116705.17,116068.40,116448.50,119663.60,119690.29,118669.81,119593.28,119749.59
2,201009.66,203515.40,200203.78,201253.68,202738.67,211562.55,213472.94,214077.10,212575.56,213705.10,241424.70,241356.75,239329.01,241398.95,241319.23,251629.76,250009.60,251379.32,251031.37,251715.26,231121.41,232694.94,232701.33,232524.17,232723.93,243312.42,239426.43,241893.94,243871.70,242956.82,200485.26,199905.78,200454.82,201823.20,199845.15,204789.40,209908.52,209650.02,210547.12,207922.54,229037.67,226879.79,229397.54,229006.33,229720.86,235111.14,234839.81,235600.63,234204.91,235507.94,218070.93,217586.75,216314.99,217610.39,217754.80,224795.19,223992.59,223489.35,220923.94,225035.35
4,345151.03,342455.70,345868.26,343635.78,344410.83,363818.72,359610.26,358695.69,361486.62,363540.05,442109.15,439002.58,440960.72,439776.04,438978.70,460150.99,459557.51,461130.55,462237.77,460113.86,439985.69,435567.94,440571.47,439536.61,441563.05,461779.01,462909.56,461689.29,461742.10,462317.22,364468.57,368436.38,365868.20,366704.74,366095.50,396222.60,395438.30,395836.84,394157.30,395916.05,412264.38,413843.54,412320.58,413255.56,412194.37,427601.18,421142.01,426243.30,424107.50,426183.49,411748.69,413681.99,412962.66,413582.34,412275.59,426853.09,426143.72,427145.99,427430.21,426803.94
12,568685.35,579827.68,567585.27,576730.90,573143.13,610078.33,607373.68,616199.12,616779.21,606640.47,980271.11,980454.15,978914.72,982617.09,976649.81,1027722.97,1025413.92,1027715.89,1027392.82,1027201.75,1180663.21,1183723.28,1182535.93,1185165.92,1188941.56,1243534.99,1241005.37,1241554.16,1237514.93,1245879.79,606573.06,605844.03,613517.13,597227.25,607591.67,1035522.19,1033026.82,1036616.88,1035351.68,1043513.30,996333.59,992153.96,997611.03,995096.91,996551.37,1057166.31,1059763.98,1050875.07,1057966.02,1056537.23,1098742.32,1104628.84,1103600.47,1099309.67,1105563.97,1139860.95,1144211.55,1139785.60,1133990.55,1141730.09
24,641524.47,640105.36,637439.20,640036.30,640746.47,672498.46,674902.26,670669.42,673786.42,681616.59,1516164.09,1521738.25,1513989.99,1519565.70,1514547.28,1588880.40,1595490.49,1584804.37,1598764.19,1583938.27,2235419.44,2229725.21,2234292.24,2227746.59,2230411.95,2340726.58,2340801.67,2340530.33,2337702.88,2340797.30,655955.46,644841.02,644396.24,655978.39,645028.07,1319226.19,1305063.91,1300343.01,1329371.03,1320636.46,1615552.35,1616927.91,1613773.91,1622133.78,1620986.66,1943730.87,1943539.95,1940607.43,1942046.87,1945205.84,2077315.48,2077512.38,2073426.62,2071438.97,2079496.98,2143601.23,2146939.78,2143516.03,2146785.19,2144509.73
32,649127.37,653562.01,645049.89,650218.69,654619.55,693789.93,689848.48,693545.95,693426.38,695332.65,1736848.24,1742600.43,1742920.57,1741951.47,1740820.96,1827794.49,1825335.92,1827768.33,1825800.01,1831199.67,2895281.90,2894712.18,2893371.45,2888313.52,2890211.38,3036258.85,3038945.83,3035019.68,3030854.57,3039611.24,660979.92,666200.22,662514.59,662546.81,665951.49,1319032.42,1310236.04,1322702.24,1309951.93,1309924.34,1842346.08,1853194.01,1856209.71,1854566.58,1839163.58,2484743.33,2485422.19,2483116.29,2493575.40,2491030.17,2695228.68,2698451.70,2695718.49,2690257.91,2692322.73,2783441.12,2786880.71,2781606.35,2784442.15,2784210.75
40,615312.95,616769.36,615319.79,616269.76,613241.78,651842.33,653778.70,654268.77,654738.74,654808.86,1697441.63,1690523.15,1690204.89,1694034.51,1695965.38,1792898.85,1790378.83,1786089.64,1790243.19,1788207.02,3160081.28,3160451.89,3159394.57,3161927.82,3162392.26,3318850.93,3318476.77,3308690.19,3318143.58,3307131.62,622691.22,619525.68,620717.29,621470.39,620798.78,1271696.59,1243876.33,1257219.92,1267506.52,1263490.23,1807835.30,1811844.93,1815957.49,1808775.35,1813799.77,2747993.63,2747293.45,2739198.06,2746301.92,2749140.96,2947868.66,2938780.81,2946286.72,2945821.52,2945941.55,3035036.88,3028366.95,3032020.53,3030328.44,3030032.73
48,577287.85,580942.10,579645.38,576998.87,579831.36,618358.86,614593.94,616668.03,615767.48,617741.65,1652071.21,1656142.44,1650958.38,1651161.52,1655658.72,1750750.87,1745905.88,1745439.94,1750100.16,1745357.05,3426560.43,3419599.25,3430638.41,3413915.68,3414088.12,3587465.20,3585672.78,3588535.18,3594223.94,3589790.54,578141.05,580341.00,579156.43,578279.89,577686.32,1232415.66,1233834.82,1200107.30,1228358.82,1230149.02,1748227.97,1753228.54,1745575.67,1737951.02,1739850.75,2929111.93,2935732.21,2933043.65,2916312.34,2923534.56,3194051.33,3192536.00,3193999.05,3198763.94,3190632.77,3274930.91,3271360.77,3283066.50,3262705.91,3284422.55
64,525575.28,523334.14,523186.38,518855.82,523208.02,559088.45,557117.35,558291.73,558066.99,561220.82,1597352.24,1594789.51,1598297.14,1599633.84,1604111.03,1693739.75,1688489.16,1692976.75,1687191.53,1694151.49,3892640.68,3902271.66,3897080.84,3876294.99,3905814.93,4101227.08,4105355.37,4111781.90,4097655.64,4106227.71,507779.43,506594.49,508902.89,508700.26,506515.09,1151332.34,1124932.83,1142530.35,1128476.01,1142678.54,1631030.89,1641392.23,1623958.64,1623262.64,1618876.39,3239786.07,3239594.38,3238140.09,3233108.40,3215151.68,3654141.60,3639847.71,3645649.53,3644389.91,3647657.00,3744522.28,3740740.59,3739416.57,3742063.84,3747671.73
