# Threads,Cicada (W4) [T1],Cicada (W4) [T2],Cicada (W4) [T3],Cicada (W4) [T4],Cicada (W4) [T5]
1,0.072,0.073,0.072,0.073,0.071
2,0.140,0.140,0.140,0.140,0.140
4,0.258,0.258,0.258,0.258,0.258
12,0.662,0.663,0.659,0.661,0.662
24,0.987,0.984,0.998,0.997,0.994
32,1.184,1.188,1.190,1.186,1.181
40,1.196,1.185,1.186,1.163,1.187
48,1.168,1.233,1.222,1.220,1.215
64,1.191,1.075,1.176,1.192,1.201
