# Threads,OCC (W1) + SV [T1],OCC (W1) + SV [T2],OCC (W1) + SV [T3],OCC (W1) + SV [T4],OCC (W1) + SV [T5],OCC + CU (W1) + SV [T1],OCC + CU (W1) + SV [T2],OCC + CU (W1) + SV [T3],OCC + CU (W1) + SV [T4],OCC + CU (W1) + SV [T5],OCC (W4) + SV [T1],OCC (W4) + SV [T2],OCC (W4) + SV [T3],OCC (W4) + SV [T4],OCC (W4) + SV [T5],OCC + CU (W4) + SV [T1],OCC + CU (W4) + SV [T2],OCC + CU (W4) + SV [T3],OCC + CU (W4) + SV [T4],OCC + CU (W4) + SV [T5],OCC (W0) + SV [T1],OCC (W0) + SV [T2],OCC (W0) + SV [T3],OCC (W0) + SV [T4],OCC (W0) + SV [T5],OCC + CU (W0) + SV [T1],OCC + CU (W0) + SV [T2],OCC + CU (W0) + SV [T3],OCC + CU (W0) + SV [T4],OCC + CU (W0) + SV [T5],OCC (W1) [T1],OCC (W1) [T2],OCC (W1) [T3],OCC (W1) [T4],OCC (W1) [T5],OCC + CU (W1) [T1],OCC + CU (W1) [T2],OCC + CU (W1) [T3],OCC + CU (W1) [T4],OCC + CU (W1) [T5],OCC (W4) [T1],OCC (W4) [T2],OCC (W4) [T3],OCC (W4) [T4],OCC (W4) [T5],OCC + CU (W4) [T1],OCC + CU (W4) [T2],OCC + CU (W4) [T3],OCC + CU (W4) [T4],OCC + CU (W4) [T5],OCC (W0) [T1],OCC (W0) [T2],OCC (W0) [T3],OCC (W0) [T4],OCC (W0) [T5],OCC + CU (W0) [T1],OCC + CU (W0) [T2],OCC + CU (W0) [T3],OCC + CU (W0) [T4],OCC + CU (W0) [T5]
1,122901.47,123282.98,122769.61,123312.23,123597.27,127489.10,128043.13,127680.60,128067.72,126605.81,130294.39,131558.49,131371.29,130115.47,131720.23,134335.49,134452.35,131804.74,134613.01,133661.74,123030.19,120845.68,122236.84,123493.67,123756.94,126937.74,127427.28,127764.39,128191.17,126629.12,131066.27,130967.43,130755.47,130985.13,131021.60,134713.32,134750.79,134583.10,132830.76,130482.28,134792.24,135378.01,135151.84,134424.13,135806.04,140694.58,140185.67,139642.61,140984.48,140713.39,131234.35,129538.08,130808.76,131121.31,131539.95,133633.06,134563.73,133971.05,134967.02,134072.36
2,215361.57,213439.33,211371.21,214668.13,216309.41,225444.21,226234.77,224047.28,224982.12,224073.10,248226.07,248457.90,247570.06,248079.14,247472.90,256625.75,255532.51,256945.21,257014.58,256845.44,235086.66,235264.56,236867.62,237712.50,235351.47,245314.55,244890.78,240857.22,241454.94,246100.01,192723.33,194078.98,193992.39,192149.72,191858.64,204268.19,204191.54,198621.25,200252.72,203626.62,258017.74,256810.71,258613.53,259040.07,258403.40,268765.34,270196.76,267933.18,270988.06,270016.65,250923.52,250575.49,245663.24,252429.57,250388.68,260090.51,260266.75,259401.90,257633.53,260851.51
4,411283.39,410391.20,411067.80,412725.06,411322.99,453071.46,447471.13,449894.98,448569.20,448718.72,460460.23,463800.99,464594.62,463979.31,462197.19,480224.15,479752.76,480292.72,478817.84,478661.64,461022.31,464260.88,462511.06,459946.27,463831.71,480389.81,473300.21,480279.88,476391.62,481039.69,276295.47,275957.22,275577.43,277036.21,276244.64,288088.09,288694.96,289452.94,289013.34,287958.14,481828.60,490745.50,489190.45,490449.89,488113.10,507145.65,506270.14,507050.46,505464.53,507570.84,484018.49,490264.88,487641.66,490069.30,490992.07,505850.17,504055.96,505864.68,507708.34,506907.10
12,669595.36,668942.09,673927.99,653141.71,673895.79,1237327.91,1261329.34,1261652.23,1255791.92,1243267.19,1112141.35,1110475.46,1117946.00,1112487.12,1119506.38,1213627.87,1213861.66,1208035.32,1206004.85,1215484.53,1231898.04,1229171.55,1232766.06,1233921.73,1229374.11,1293058.83,1295317.96,1296402.26,1296887.83,1293114.43,334585.01,335222.28,334011.33,336020.73,337649.91,350311.33,349615.07,348683.77,351306.28,351323.49,883801.81,880664.24,882510.72,882928.80,884383.17,918019.41,920113.21,919147.90,921778.56,913216.59,1310681.52,1320059.48,1318694.68,1318473.00,1317560.77,1367248.32,1369523.33,1365829.23,1368277.81,1365658.11
24,719459.28,713539.15,715948.03,712405.86,724090.83,1526179.02,1558844.27,1507573.78,1538106.46,1559281.98,1809134.00,1815077.95,1820477.56,1809980.97,1834428.16,2305967.66,2309604.60,2313599.95,2307962.66,2290128.43,2309491.07,2310100.50,2315690.73,2316463.56,2311633.27,2457388.92,2454678.26,2449831.53,2455247.86,2454150.00,362485.73,360333.57,360851.94,359288.89,360484.94,375523.84,375744.35,375120.10,375881.74,379636.51,1100293.61,1098597.34,1098178.27,1101609.35,1097563.75,1146990.01,1150722.90,1147779.91,1147317.79,1148327.57,2485671.05,2487448.64,2488063.13,2485746.25,2485842.56,2585526.22,2559773.64,2577471.23,2582340.76,2576171.75
32,734268.33,732726.13,735258.25,723749.69,727397.97,1602694.62,1606495.90,1607702.45,1564151.14,1582534.21,2078290.05,2082288.97,2080370.47,2063646.24,2081371.73,2969222.81,2992286.54,2977564.66,2989683.61,2987743.82,3004154.36,3002215.49,3002247.91,3010005.78,3009051.87,3195490.90,3194177.47,3197928.18,3179947.16,3196942.74,369432.85,368052.91,370214.47,370635.22,370570.48,385683.73,387100.11,385771.80,386253.35,384945.71,1164749.72,1161967.69,1162874.50,1159963.36,1158977.90,1217402.29,1218242.27,1217377.34,1217834.53,1215045.16,3225883.52,3219083.56,3224319.84,3225502.69,3224537.96,3352592.33,3352684.23,3338306.21,3355971.37,3358801.75
40,685613.46,691564.81,683704.85,687855.79,687823.13,1547770.55,1509897.57,1536076.84,1579674.36,1555910.92,2038653.74,2034592.04,2032470.46,2039157.17,2026601.91,3344653.32,3351897.76,3348646.23,3363120.88,3354318.91,3305895.62,3302267.92,3306385.73,3300589.83,3304497.43,3507646.42,3503966.90,3506740.70,3505831.90,3482908.39,356204.20,356716.98,356703.87,355451.22,355731.66,371974.75,371845.98,371949.63,373029.47,372273.77,1076428.17,1077102.73,1076042.44,1076695.60,1073266.64,1130446.79,1132841.45,1134521.28,1129231.67,1130802.18,3541100.84,3540073.78,3534708.21,3537808.51,3534751.82,3694278.81,3686968.30,3694523.81,3696968.61,3694085.26
48,643537.36,633795.53,647429.71,647708.81,644915.60,1480234.88,1518983.82,1509149.90,1545927.28,1471891.46,1985780.82,1983083.98,1975968.48,1982731.50,1980285.21,3626994.65,3619092.75,3630870.37,3609380.20,3618391.13,3608579.61,3603483.82,3603703.05,3604099.02,3604446.65,3807908.17,3812513.83,3809664.51,3799508.21,3815762.26,338478.34,338516.37,338272.72,338726.20,338542.91,352654.48,353465.38,352211.61,352457.39,352727.34,1020597.19,1026460.86,1028136.78,1025798.41,1022388.49,1075093.46,1075663.42,1076573.06,1072207.46,1074724.20,3858689.68,3850476.12,3850926.95,3851466.33,3858298.08,4036070.85,4027473.87,4029573.79,4035266.02,4031138.46
64,556710.96,568969.44,567470.09,564495.22,566749.87,1437176.09,1477079.83,1457596.67,1447735.09,1439044.70,1848684.56,1828796.85,1837823.58,1842717.11,1835007.83,4073224.58,4050806.31,4043243.28,4058875.22,4042731.41,4180412.74,4191760.96,4184134.36,4195032.04,4190166.37,4422656.07,4422922.85,4423594.06,4414984.65,4413381.65,284356.95,283887.61,283673.45,284745.65,284391.09,296342.88,296162.20,295528.30,294446.88,296495.99,913001.55,915178.93,914496.54,912656.29,914541.01,957308.84,956919.25,954609.10,960105.67,958816.28,4465790.67,4466334.36,4464544.86,4468735.15,4454334.28,4685843.84,4677665.91,4686804.92,4683789.50,4666453.85
