# Threads,ERMIA (W4) [T1],ERMIA (W4) [T2],ERMIA (W4) [T3],ERMIA (W4) [T4],ERMIA (W4) [T5]
1,31604.3,27291.5,31651,31686.1,31477
2,59988,62096.8,61606.2,63249.1,59940.9
4,122813,124528,124966,123417,124466
12,304479,303662,306263,306018,306762
24,396485,397842,398968,396960,397614
32,395581,392702,393897,395987,395324
40,,,,,
48,,,,,
64,,,,,
