# Threads,TicToc (W1) [T1],TicToc (W1) [T2],TicToc (W1) [T3],TicToc (W1) [T4],TicToc (W1) [T5],TicToc + CU (W1) [T1],TicToc + CU (W1) [T2],TicToc + CU (W1) [T3],TicToc + CU (W1) [T4],TicToc + CU (W1) [T5],TicToc (W4) [T1],TicToc (W4) [T2],TicToc (W4) [T3],TicToc (W4) [T4],TicToc (W4) [T5],TicToc + CU (W4) [T1],TicToc + CU (W4) [T2],TicToc + CU (W4) [T3],TicToc + CU (W4) [T4],TicToc + CU (W4) [T5],TicToc (W0) [T1],TicToc (W0) [T2],TicToc (W0) [T3],TicToc (W0) [T4],TicToc (W0) [T5],TicToc + CU (W0) [T1],TicToc + CU (W0) [T2],TicToc + CU (W0) [T3],TicToc + CU (W0) [T4],TicToc + CU (W0) [T5],TicToc (W1) + ST [T1],TicToc (W1) + ST [T2],TicToc (W1) + ST [T3],TicToc (W1) + ST [T4],TicToc (W1) + ST [T5],TicToc + CU (W1) + ST [T1],TicToc + CU (W1) + ST [T2],TicToc + CU (W1) + ST [T3],TicToc + CU (W1) + ST [T4],TicToc + CU (W1) + ST [T5],TicToc (W4) + ST [T1],TicToc (W4) + ST [T2],TicToc (W4) + ST [T3],TicToc (W4) + ST [T4],TicToc (W4) + ST [T5],TicToc + CU (W4) + ST [T1],TicToc + CU (W4) + ST [T2],TicToc + CU (W4) + ST [T3],TicToc + CU (W4) + ST [T4],TicToc + CU (W4) + ST [T5],TicToc (W0) + ST [T1],TicToc (W0) + ST [T2],TicToc (W0) + ST [T3],TicToc (W0) + ST [T4],TicToc (W0) + ST [T5],TicToc + CU (W0) + ST [T1],TicToc + CU (W0) + ST [T2],TicToc + CU (W0) + ST [T3],TicToc + CU (W0) + ST [T4],TicToc + CU (W0) + ST [T5]
1,133699.28,131617.00,136140.22,135315.69,134757.12,142412.21,140761.03,142064.85,142047.72,142351.03,137977.08,139458.07,135822.33,137644.61,138631.44,147740.16,150370.02,147119.36,147504.20,150568.21,136568.75,137130.16,137265.43,136708.79,137500.00,142095.48,143588.19,142177.69,145011.58,145617.27,115883.58,116384.78,116893.34,117553.23,119108.41,123658.85,120505.82,122742.45,121929.57,123101.25,119428.42,123148.08,121168.55,118443.79,121510.14,126236.35,126015.56,125993.87,125257.58,126056.51,117707.33,119432.88,118997.34,117704.29,118158.33,117687.05,122204.61,123393.56,122448.01,122161.93
2,228632.43,226010.27,229253.05,229739.17,230545.11,240966.25,240151.86,236075.59,239103.00,240106.98,261693.98,262375.02,260280.45,261185.76,260925.18,277670.48,278370.03,276004.25,276378.17,279313.61,253201.35,252520.79,253681.12,253307.83,248113.25,263261.16,263145.35,265474.99,265862.03,263992.08,202805.61,202344.05,203201.51,199281.88,202869.31,211138.06,211619.44,212464.25,213589.78,212482.62,227954.83,226740.87,226988.18,226085.78,225964.00,231320.56,232891.49,233340.10,234391.29,231855.26,217259.12,218632.16,217159.48,216333.82,218335.34,224494.32,226030.36,228528.99,227331.20,226713.51
4,414315.21,416797.32,417081.96,412066.84,416118.66,435032.77,433185.63,435877.98,429444.23,438450.83,495330.22,495954.85,491759.80,494990.11,496692.10,520252.43,520170.69,517206.37,518944.34,521696.31,495279.96,496141.51,495958.30,494596.05,492754.35,519344.21,520605.73,523936.92,518338.89,519251.57,385599.39,386250.24,387858.91,386622.40,386073.63,422198.49,422831.76,422165.86,418129.30,420296.21,425760.63,428643.12,428454.80,428123.16,423401.77,436017.54,445689.07,443404.62,443286.06,444679.77,427739.97,428946.70,424772.89,424068.30,428098.82,443215.29,439234.11,443547.72,446075.62,443505.87
12,696306.61,688429.21,698560.46,700952.86,708222.50,730161.62,734444.98,742995.14,740114.41,729927.60,1145825.58,1145187.29,1144679.70,1144261.25,1140643.77,1216328.07,1221691.18,1220396.26,1211705.13,1215274.67,1333385.76,1332141.79,1325135.41,1328205.34,1334633.07,1421480.16,1422029.11,1416163.54,1423471.02,1421746.62,636727.00,641966.00,631296.84,634161.85,636958.65,1124120.81,1118918.78,1140492.12,1146312.79,1125088.50,1043224.97,1042477.63,1044877.50,1041870.44,1045656.49,1118286.37,1113744.53,1122381.94,1117898.50,1122102.99,1135638.19,1141560.75,1140652.67,1140955.97,1136057.04,1183415.54,1186707.06,1188499.11,1186861.94,1187978.57
24,764181.70,761187.45,759579.42,755106.86,749601.98,790418.81,791674.13,788609.23,797222.08,794721.58,1804768.21,1790733.75,1810014.66,1817886.09,1813006.88,1911160.53,1923439.92,1931065.55,1916611.09,1921136.98,2504999.77,2505399.77,2502407.91,2506603.56,2502343.65,2677076.43,2671833.23,2667067.44,2671996.88,2674237.18,687927.23,685534.35,690405.77,684572.52,683361.35,1298646.55,1289023.20,1271269.46,1255440.69,1294486.36,1698807.17,1676753.95,1693587.61,1682488.82,1692173.01,2090512.84,2094046.57,2090046.45,2093041.90,2085518.93,2143896.51,2141158.37,2147361.58,2147074.79,2143656.49,2225381.30,2220294.99,2221681.06,2215327.45,2223789.31
32,770025.95,774557.48,768316.08,776785.25,770916.32,800274.54,805945.96,812833.81,808662.65,803640.03,2082482.81,2091518.20,2086614.08,2080116.37,2085742.47,2217320.77,2217616.67,2217770.59,2201089.40,2214839.46,3255670.58,3249680.43,3233948.48,3250079.60,3246755.13,3473538.86,3456741.12,3476457.80,3470777.82,3469863.93,694200.32,702444.51,698180.15,703365.33,702526.88,1319906.91,1346410.22,1290410.00,1317194.96,1316157.91,1942321.29,1943981.32,1950004.30,1943978.31,1940878.32,2701560.72,2709472.20,2701498.41,2698738.05,2697405.91,2787209.02,2784064.22,2780358.71,2785245.34,2784484.81,2888149.96,2887480.64,2891827.61,2889099.23,2893877.04
40,732332.32,730512.48,733212.11,728539.03,727438.45,764267.33,756682.16,760420.12,757771.03,762075.65,2047879.50,2051152.77,2045145.39,2041969.44,2043632.28,2160924.46,2161816.19,2158184.75,2164547.59,2160701.45,3534285.25,3543761.31,3546330.02,3537993.98,3538418.96,3766354.21,3779252.64,3766065.68,3765765.73,3769596.00,657005.04,653773.26,660622.75,663284.73,658073.92,1248187.23,1292378.15,1280554.70,1280948.08,1267891.14,1898892.75,1906983.13,1905519.88,1910781.78,1908923.49,3021004.97,3017771.00,3020760.68,3023171.26,3015482.43,3050010.12,3056021.17,3052086.76,3055767.91,3048810.99,3160128.13,3154484.57,3151668.40,3161335.42,3164240.74
48,681325.05,690661.46,688502.90,685327.96,679613.59,715348.96,712098.55,716060.95,708447.99,716518.48,1993067.73,1987060.37,1987343.20,1985879.74,1987662.81,2097268.62,2099859.71,2088424.34,2089770.32,2099626.73,3822185.96,3829753.73,3819722.43,3833157.00,3831735.15,4066906.63,4062260.54,4072081.62,4076963.46,4055020.26,615583.53,613215.40,611566.44,617456.94,619498.39,1243702.83,1254170.37,1189766.70,1238232.21,1255524.20,1847648.07,1853124.65,1851454.84,1842112.30,1846852.42,3264303.35,3263146.56,3247438.63,3262471.67,3257092.63,3320673.89,3322361.46,3311022.81,3326650.16,3322213.90,3427330.50,3423351.86,3423097.67,3431111.16,3424761.96
64,608171.17,609535.39,610584.72,613285.74,604572.40,634460.47,637378.73,629240.95,642526.97,638169.47,1902477.58,1885742.76,1896754.80,1898642.28,1899684.95,1998723.74,2002019.29,1999779.01,2003195.34,2009454.32,4389585.19,4388143.92,4399259.92,4399980.04,4392379.76,4664113.81,4647390.82,4652631.50,4655617.25,4664331.79,539500.91,539380.52,538503.63,536843.23,525597.01,1106004.89,1134583.66,1113191.09,1109221.42,1154325.59,1719140.45,1728581.02,1730985.25,1720759.88,1731395.40,3625055.83,3625049.28,3629811.75,3630375.41,3623995.63,3845241.09,3841593.79,3851315.72,3845827.29,3845625.24,3964121.92,3963881.82,3961262.32,3962005.48,3961914.68
