# Threads,ERMIA (W1) [T1],ERMIA (W1) [T2],ERMIA (W1) [T3],ERMIA (W1) [T4],ERMIA (W1) [T5]
1,30315.8,32895.9,29321.5,32987.7,32788.6
2,57560.5,56686.4,57080.4,55325.7,57534.4
4,89272,89571.8,89797.7,89557.6,89913.5
12,98526.1,97250.5,98509.5,98567.9,98263.4
24,56615.8,56568.8,56478.9,56271.8,56694.3
32,44259.8,44423.5,44104.1,43920,44473.2
40,,,,,
48,,,,,
64,,,,,
