# Threads,Cicada (W1) [T1],Cicada (W1) [T2],Cicada (W1) [T3],Cicada (W1) [T4],Cicada (W1) [T5]
1,0.072,0.072,0.072,0.072,0.071
2,0.129,0.131,0.128,0.132,0.131
4,0.228,0.227,0.223,0.227,0.227
12,0.460,0.463,0.452,0.460,0.463
24,0.558,0.553,0.553,0.556,0.554
32,0.575,0.576,0.574,0.577,0.577
40,0.534,0.534,0.535,0.536,0.536
48,0.484,0.464,0.482,0.485,0.481
64,0.398,0.401,0.401,0.402,0.401
