# Threads,MVCC + CU (C) + SV [T1],MVCC + CU (C) + SV [T2],MVCC + CU (C) + SV [T3],MVCC + CU (C) + SV [T4],MVCC + CU (C) + SV [T5],MVCC (C) + SV [T1],MVCC (C) + SV [T2],MVCC (C) + SV [T3],MVCC (C) + SV [T4],MVCC (C) + SV [T5],MVCC + CU (C) [T1],MVCC + CU (C) [T2],MVCC + CU (C) [T3],MVCC + CU (C) [T4],MVCC + CU (C) [T5],MVCC (C) [T1],MVCC (C) [T2],MVCC (C) [T3],MVCC (C) [T4],MVCC (C) [T5],OCC + CU (C) + SV [T1],OCC + CU (C) + SV [T2],OCC + CU (C) + SV [T3],OCC + CU (C) + SV [T4],OCC + CU (C) + SV [T5],TicToc + CU (C) + SV [T1],TicToc + CU (C) + SV [T2],TicToc + CU (C) + SV [T3],TicToc + CU (C) + SV [T4],TicToc + CU (C) + SV [T5],OCC (C) + SV [T1],OCC (C) + SV [T2],OCC (C) + SV [T3],OCC (C) + SV [T4],OCC (C) + SV [T5],TicToc (C) + SV [T1],TicToc (C) + SV [T2],TicToc (C) + SV [T3],TicToc (C) + SV [T4],TicToc (C) + SV [T5],OCC + CU (C) [T1],OCC + CU (C) [T2],OCC + CU (C) [T3],OCC + CU (C) [T4],OCC + CU (C) [T5],TicToc + CU (C) [T1],TicToc + CU (C) [T2],TicToc + CU (C) [T3],TicToc + CU (C) [T4],TicToc + CU (C) [T5],OCC (C) [T1],OCC (C) [T2],OCC (C) [T3],OCC (C) [T4],OCC (C) [T5],TicToc (C) [T1],TicToc (C) [T2],TicToc (C) [T3],TicToc (C) [T4],TicToc (C) [T5]
1,989219.24,986220.42,991432.21,993612.07,988381.71,987819.72,989969.53,985018.66,989949.62,987595.78,1097952.88,1101697.86,1100607.02,1097865.74,1097435.02,1107113.49,1116900.05,1121442.89,1122051.89,1104833.90,1254662.72,1257196.86,1261723.60,1260999.87,1251131.99,1238191.60,1246293.74,1246424.97,1242513.94,1249440.89,1285486.08,1285824.16,1276095.53,1287874.34,1277649.21,1169491.04,1177208.11,1168326.04,1176703.25,1178360.05,1332723.53,1331176.51,1327360.96,1332780.78,1330760.15,1241030.92,1236482.40,1234354.86,1233706.44,1213182.07,1199521.96,1198123.17,1202932.54,1202490.97,1200910.99,1246389.99,1243766.17,1244781.18,1247249.46,1235863.72
2,1542243.60,1584717.20,1558753.65,1572900.11,1545511.47,1534824.40,1540459.95,1572414.05,1542409.21,1559384.16,1670360.63,1672714.58,1649677.94,1654303.13,1636160.09,1556123.17,1651791.30,1671600.42,1734027.29,1676422.71,2368574.23,2365616.64,2361470.18,2365422.55,2364519.72,2346522.62,2326827.43,2337873.07,2339254.85,2339462.98,2415606.51,2402548.85,2385719.90,2415682.56,2417154.64,2185384.02,2195732.89,2180943.10,2191956.35,2177229.80,2489551.70,2487138.80,2502251.92,2501575.01,2381943.75,2318252.24,2312160.20,2309045.97,2310904.94,2310846.96,2232241.75,2228788.51,2221442.78,2153173.24,2231216.50,2324247.51,2328429.70,2320030.34,2324812.03,2330960.16
4,2989342.67,2944006.06,2929589.10,2948735.07,2978739.63,2987672.79,2880656.70,2949635.79,2967926.45,2995755.26,3123517.53,3054738.72,3148408.22,3142372.93,3122813.20,3177654.17,3173524.32,3136384.07,3151746.47,3132051.41,4980433.71,4971367.20,4977608.46,4984806.68,4982705.78,4921219.16,4921872.20,4912569.96,4919024.41,4916215.25,5075113.03,5069358.29,5059802.58,5075123.79,5073310.18,4588751.38,4579115.57,4588044.46,4590537.64,4590471.09,5215124.08,5252099.06,5253555.16,5256694.92,5249482.28,4846815.71,4844638.47,4845942.56,4807651.61,4847828.13,4670886.92,4669260.91,4665337.77,4672144.31,4674614.29,4878801.27,4865191.24,4866555.65,4879524.79,4867035.03
12,5565162.38,5579369.21,5624637.83,5566448.00,5694512.22,5590828.66,5613029.62,5540927.15,5591336.97,5590802.51,5722450.36,5800761.27,5818052.02,5915251.16,5946840.82,5846704.88,5887271.97,5946076.43,5889577.95,5878813.47,14545645.93,14590894.83,14605588.36,14602520.04,14630734.81,14422639.65,14386356.41,14416662.61,14379096.17,14396233.64,14830304.38,14866723.50,14856629.55,14816027.11,14854533.94,13423439.72,13431468.10,13436487.77,13440057.84,13410229.38,15313920.22,15297335.69,15329098.88,15261815.51,15253149.21,14146207.92,14165283.59,14140603.41,14152016.83,14167322.40,13653846.40,13637807.45,13640103.37,13633743.66,13646690.52,14265268.15,14172697.87,14262906.21,14250344.22,14268321.21
24,7750278.67,7893531.06,7987853.82,8041854.44,7872651.51,7836555.09,8016824.96,7932177.24,7987567.73,8102522.55,8097362.99,8060207.90,8228443.77,8297705.32,8224044.94,7957623.47,8374703.62,8108287.61,8213768.02,8145206.43,27882561.46,27863538.99,27871872.36,27897859.69,27863896.88,27306932.51,27618862.62,27384687.27,27427230.55,27436932.69,28277715.86,28272584.20,28290917.53,28289243.40,28356338.49,25534332.90,25471595.16,25527990.70,25511601.93,25482880.62,28981858.79,28953641.44,28981627.04,29210575.66,29229090.16,27006582.01,26967289.31,27094171.00,27088502.66,27006398.34,25917613.50,25833682.48,25870534.40,25887765.70,25914349.21,27050855.36,27166934.63,27155112.47,27170499.60,27166523.78
32,9402872.09,9452383.96,8963292.14,9292569.89,9296829.00,9215296.12,9182233.50,9119957.75,9020213.20,8991515.20,9529398.96,9611448.11,9783009.55,9428182.60,9497616.25,9684219.69,9684978.29,9661424.16,9634210.98,9764116.23,35740378.43,35794662.84,35799974.35,35815975.55,35676237.84,35139037.12,35107568.47,35153526.42,35124845.41,35170773.12,36151014.34,36208568.87,36269818.67,36235095.31,36257270.98,32666919.16,32656157.11,32621386.72,33012123.14,32610503.35,36917061.67,36936725.27,36862499.66,36916132.60,36883308.08,34555285.69,34586465.62,34640466.81,34602676.04,34568648.26,33118051.51,32888611.92,33100611.72,33096188.59,33071381.70,34829716.30,34763285.84,34812773.20,34834563.58,34501371.81
40,10162184.64,10559659.75,10274540.77,10404710.32,10289304.19,10403629.03,10506948.80,10319591.89,10579615.29,10542731.63,10361347.69,10889602.45,11351176.61,10921510.76,10756273.17,11036490.88,10699299.84,10988303.98,10878727.42,10733564.61,41604318.99,41510669.84,41586962.79,41623828.81,41528442.01,40246707.15,39502866.07,39644740.60,39555479.73,39637918.37,42708191.03,42130181.58,42149759.47,42098769.16,42115720.33,36861752.19,36824390.08,37011548.41,36762338.18,36831144.62,41450106.63,41720313.46,41357669.91,41354688.75,41403104.20,39129427.89,39082109.65,39015691.00,39016015.41,39009192.38,37998215.89,38117359.85,38558843.01,37853786.64,38020425.10,38969304.72,37087219.65,38659113.43,39089464.06,38821305.34
48,11614928.56,11429790.17,11753081.82,11725698.68,11793370.92,11193543.75,11588120.05,11601548.53,11402936.10,11797698.16,11798642.21,11671555.34,11687440.43,11761514.96,11514716.42,11673768.20,11455834.37,11876266.12,11784085.05,11686049.25,47072940.83,47899413.17,47677203.39,46990390.86,46906520.52,43811269.52,43984568.16,43862569.81,43928806.41,43836861.99,47849378.40,47739175.86,47655968.70,47559597.67,47510566.76,40794470.86,40902541.86,40706326.84,40891251.60,41014054.10,45503223.28,45509042.86,45432073.99,45726675.69,47256755.53,43314987.30,43460848.06,43456575.82,43281967.26,43321065.98,43415110.73,43090866.30,42569900.35,42821574.89,42698192.81,42501380.18,42945401.26,42329998.06,42503331.68,42593445.79
64,13198701.97,13061061.58,13337342.65,13495876.69,13372554.39,13289418.87,13324184.19,13242576.89,13098055.07,13335335.11,13360500.23,13405481.49,13487550.59,13928541.56,13694226.75,13326024.17,13305842.78,13324663.42,13314312.63,12625675.92,56419322.60,56414098.25,56989505.09,57575666.92,56520098.06,51244343.38,51282140.81,50918928.23,51364363.12,51504903.54,57148792.24,58480340.86,57783797.68,57170573.24,57033519.75,48250376.59,47993276.87,48043784.17,47857127.15,48140972.92,52928858.94,52501735.33,52684751.71,53313152.98,53690152.91,50653187.34,50670260.81,51429389.88,50864625.62,51251445.92,50771660.26,51469960.62,51698419.37,50811153.59,51298426.57,49095187.73,46973299.37,49662912.60,49209484.52,49000905.86
