# Threads,TicToc + SV [T1],TicToc + SV [T2],TicToc + SV [T3],TicToc + SV [T4],TicToc + SV [T5],TicToc + SV [T6],TicToc + SV [T7],TicToc + SV [T8],TicToc + SV [T9],TicToc + SV [T10],TicToc + CU + SV [T1],TicToc + CU + SV [T2],TicToc + CU + SV [T3],TicToc + CU + SV [T4],TicToc + CU + SV [T5],TicToc + CU + SV [T6],TicToc + CU + SV [T7],TicToc + CU + SV [T8],TicToc + CU + SV [T9],TicToc + CU + SV [T10],TicToc [T1],TicToc [T2],TicToc [T3],TicToc [T4],TicToc [T5],TicToc [T6],TicToc [T7],TicToc [T8],TicToc [T9],TicToc [T10],TicToc + CU [T1],TicToc + CU [T2],TicToc + CU [T3],TicToc + CU [T4],TicToc + CU [T5],TicToc + CU [T6],TicToc + CU [T7],TicToc + CU [T8],TicToc + CU [T9],TicToc + CU [T10]
1,633097.03,630319.39,629697.29,629463.59,641195.45,639554.02,637120.99,641266.42,647271.29,640756.16,652925.90,661216.00,660633.27,656684.29,656870.95,661232.71,661601.62,658596.34,652651.65,659269.92,639301.73,625738.23,636062.28,633028.84,638941.34,639687.37,636833.12,633972.71,640033.19,634236.68,664971.10,657963.03,653352.43,659080.52,662803.06,664837.11,664619.24,662422.28,664973.56,665763.86
2,1069295.69,1070204.58,1055194.48,1069465.03,1069262.38,1081865.03,1063165.85,1068193.16,1070777.72,1088289.69,1120380.09,1109982.45,1111670.95,1111748.51,1104707.97,1130103.51,1122687.16,1123664.05,1121804.90,1106636.37,1072251.08,1080186.96,1075561.34,1062552.31,1069330.63,1076442.10,1061999.78,1042621.52,1075882.91,1062199.29,1115458.42,1116927.46,1128868.70,1112477.74,1112714.40,1122687.01,1130191.42,1133562.00,1133610.40,1123966.35
4,2161308.77,2161145.61,2122114.00,2140997.16,2159707.13,2169070.40,2137941.35,2135435.38,2127219.10,2162225.82,2207319.68,2250285.02,2217464.22,2247264.97,2235199.03,2245574.80,2248623.33,2234879.87,2249363.92,2223038.04,2111122.38,2133859.33,2133384.90,2147554.67,2142718.28,2112430.85,2135365.80,2123956.97,2140962.58,2153737.37,2274634.44,2230678.08,2269057.06,2251588.48,2273126.86,2251840.85,2271778.38,2257139.95,2261082.62,2252414.52
12,5159651.71,5275252.48,5261924.22,5145519.33,5158409.79,5134679.76,5139722.58,5256253.33,5046362.19,5244210.73,5615560.25,5785969.00,5813288.21,5667428.83,5524017.04,5638427.63,5733162.41,5682582.15,5678722.44,5662006.67,5093477.22,5134147.02,5053119.17,5132619.98,4944647.95,5038500.56,5233065.52,5218678.88,5034300.81,5141620.56,5739067.65,5748462.72,5586568.13,5865210.48,5836662.60,5716039.60,5668177.58,5738341.31,5741147.95,5673710.36
24,6445495.06,6429845.92,6449108.65,6239079.39,6540061.27,6316627.21,6628861.90,6425098.44,6468149.65,6474967.33,8773748.80,8432859.76,8711839.37,8727241.36,8735394.09,8742839.67,8590332.29,9061345.57,8679133.76,8668228.49,6447448.13,6386590.60,6393988.03,6284832.14,6244152.98,6368574.89,6411148.39,6229421.77,6307262.81,6450560.20,8674783.90,8769932.19,8839076.22,8963186.89,8772505.96,8929380.13,9060449.68,8767109.61,8758552.38,8634037.95
32,6491198.19,6514580.76,6510947.80,6332941.80,6574390.49,6610729.27,6405860.61,6566581.75,6508750.83,6625448.69,9416641.94,9730994.70,9652286.51,9630091.24,9967892.87,9578903.31,9686149.49,9792323.72,9826344.43,9655627.62,6370111.98,6368105.58,6331927.78,6558908.70,6372688.61,6366777.35,6464746.12,6502531.86,6369032.00,6500878.80,9879306.95,9598662.70,9635779.58,9847955.28,9521063.23,9810453.10,10051219.31,9906452.00,10042298.34,9838724.81
40,6276299.73,6335876.29,6317975.69,6210220.95,6329828.12,6358786.38,6263574.41,6230327.82,6386729.41,6195744.61,10055848.11,10048545.37,9931682.74,9869338.75,10004794.06,9987777.33,10467987.04,10127320.05,9933631.12,10011528.52,6163817.55,6131382.95,6148247.92,5962986.70,6205691.68,6216200.33,6096964.50,6156328.23,6147878.34,6279499.11,10385387.78,10263637.74,10239311.21,10008375.33,9557792.89,10400708.31,10459849.50,10024848.86,10069301.47,10026344.74
48,5901345.76,6041837.64,5973385.01,5946267.35,5843610.28,5997855.65,6036057.93,6119451.94,6029839.61,5835166.76,10178059.23,9779131.20,10170462.30,10125731.45,10567929.29,10190686.48,10583367.60,10196768.07,10266188.55,10216316.40,6019286.63,5856066.97,6016448.88,5846115.56,5869951.49,5914482.24,5986731.94,5960939.95,5995430.63,6004200.40,10468972.85,10585558.91,10571321.46,10560405.27,9729105.47,10461471.72,10161704.18,10390085.78,10052074.54,10213063.66
64,5760566.30,5675415.46,5654001.64,5673999.27,5754653.75,5609319.56,5714978.08,5696920.52,5678590.46,5687681.83,10336799.53,10299595.81,10117134.96,10189951.01,9891683.20,10405239.67,10209138.87,10229454.16,10636583.04,10303650.42,5637780.73,5558723.19,5661378.50,5641234.46,5541300.05,5530249.15,5653200.85,5508208.83,5645670.74,5495906.30,10638346.43,10263708.52,10229875.53,10577159.48,10747369.78,9905180.56,10196657.65,10464682.05,10148579.67,10532701.98
