# Threads,MVCC + SV [T1],MVCC + SV [T2],MVCC + SV [T3],MVCC + SV [T4],MVCC + SV [T5],MVCC + CU + SV [T1],MVCC + CU + SV [T2],MVCC + CU + SV [T3],MVCC + CU + SV [T4],MVCC + CU + SV [T5],MVCC [T1],MVCC [T2],MVCC [T3],MVCC [T4],MVCC [T5],MVCC + CU [T1],MVCC + CU [T2],MVCC + CU [T3],MVCC + CU [T4],MVCC + CU [T5]
1,25731.36,25856.55,25798.74,25771.45,25846.55,25121.40,25817.29,25744.50,25508.25,25770.52,25072.27,24972.43,25232.29,25248.36,25127.86,24949.91,25020.75,24972.09,25085.66,24876.49
2,46651.48,46938.20,47794.94,46934.55,46894.57,47254.73,47246.65,47018.01,46141.22,46797.53,45455.96,45393.54,45327.69,44371.29,44503.03,45539.92,45125.14,45046.73,44495.30,44570.05
4,92747.71,91516.12,91885.94,92677.17,92029.56,92550.94,91876.54,91361.36,93111.30,92245.42,89408.90,88810.67,88094.77,87350.60,89261.24,87858.72,89056.45,87584.41,88642.13,88947.88
12,248673.15,247300.87,247906.73,245580.36,249513.90,251810.61,249551.26,248748.58,248677.24,246832.15,235240.20,239265.88,235409.87,236439.86,238060.58,240992.27,239789.42,240054.32,239149.98,239464.31
24,420863.63,420546.17,422755.46,420057.00,423531.25,445571.56,450281.90,446998.16,446485.56,451818.71,399610.13,405894.32,405342.94,406359.41,404016.43,429623.81,426630.84,423555.89,429035.98,430374.36
32,493714.39,489627.28,489253.84,486125.34,491771.46,550926.55,544546.65,559492.35,549794.56,551029.18,475939.56,469223.10,478373.02,479597.76,476155.55,535735.82,530260.73,536421.19,525594.56,525426.24
40,473270.59,478511.63,477492.80,482016.73,477958.41,590817.89,596906.29,609182.46,592926.14,588808.24,463273.88,465673.13,467540.28,462757.51,467184.91,580456.55,569667.53,577583.68,579125.17,578344.95
48,457047.83,462683.60,453133.15,458821.22,461310.28,641886.36,625795.34,638689.68,627273.39,627123.86,452720.03,449282.05,442534.47,436471.25,445726.30,602844.21,607894.16,622445.33,607868.85,626319.08
64,407031.96,406711.39,399855.87,409072.17,403359.16,680329.99,675299.67,672040.15,669998.29,685350.32,400816.90,396415.42,392945.58,394249.86,398542.81,640945.45,656739.52,651736.77,676881.54,661644.62
