# Threads,ERMIA (W4) [T1],ERMIA (W4) [T2],ERMIA (W4) [T3],ERMIA (W4) [T4],ERMIA (W4) [T5]
1,28502.7,31560,31986.3,31802.2,31574.9
2,63637.7,60362,63619.4,63121.7,63646.6
4,122506,125438,122417,122031,122112
12,306371,306667,307263,306525,306659
24,399591,400588,401234,401101,398673
32,399580,400243,400130,399649,399979
40,,,,,
48,,,,,
64,,,,,
