# Threads,ERMIA (W0) [T1],ERMIA (W0) [T2],ERMIA (W0) [T3],ERMIA (W0) [T4],ERMIA (W0) [T5]
1,33063.4,33161.9,33016.7,32810.2,33068.5
2,64330,64475.9,63793.9,64276.8,64309.2
4,125490,125074,125242,120928,125005
12,353662,352788,354309,352206,350475
24,658048,659597,657621,658168,657496
32,847943,818607,775707,810244,787215
40,,,,,
48,,,,,
64,,,,,
