# Threads,ERMIA (W1) [T1],ERMIA (W1) [T2],ERMIA (W1) [T3],ERMIA (W1) [T4],ERMIA (W1) [T5]
1,33040.6,33081.4,33128.9,32536.9,32756
2,57463.2,57358.4,57507.9,57089,57800.8
4,90322.9,89850.2,90317,90344.4,90186.1
12,98241.9,98381.6,99344.8,97099,97038
24,57222.7,56685.9,57149.9,56857.4,56729.1
32,44854.5,44961.9,44732,45072.1,44638.5
40,,,,,
48,,,,,
64,,,,,
