# Threads,Cicada (W0) [T1],Cicada (W0) [T2],Cicada (W0) [T3],Cicada (W0) [T4],Cicada (W0) [T5]
1,0.072,0.073,0.072,0.072,0.073
2,0.136,0.136,0.137,0.136,0.137
4,0.259,0.258,0.259,0.259,0.257
12,0.681,0.683,0.684,0.684,0.679
24,1.331,1.334,1.331,1.335,1.334
32,1.703,1.694,1.703,1.709,1.707
40,,,,,
48,,,,,
64,,,,,
