# Threads,Cicada (W1) [T1],Cicada (W1) [T2],Cicada (W1) [T3],Cicada (W1) [T4],Cicada (W1) [T5]
1,0.071,0.071,0.072,0.072,0.072
2,0.132,0.131,0.131,0.128,0.131
4,0.225,0.226,0.225,0.223,0.228
12,0.452,0.459,0.458,0.461,0.450
24,0.554,0.555,0.554,0.544,0.552
32,0.578,0.576,0.577,0.573,0.570
40,0.526,0.532,0.532,0.533,0.528
48,0.475,0.478,0.478,0.481,0.478
64,0.401,0.401,0.398,0.402,0.394
