# Threads,Cicada (W4) [T1],Cicada (W4) [T2],Cicada (W4) [T3],Cicada (W4) [T4],Cicada (W4) [T5]
1,0.073,0.070,0.074,0.073,0.073
2,0.141,0.142,0.141,0.140,0.141
4,0.260,0.258,0.259,0.259,0.257
12,0.668,0.668,0.667,0.664,0.668
24,1.006,0.999,1.005,0.989,1.003
32,1.201,1.191,1.206,1.199,1.202
40,1.210,1.211,1.209,1.208,1.203
48,1.240,1.244,1.244,1.240,1.242
64,1.217,1.239,1.233,1.242,1.216
