# Threads,Doppel + 160phases [T1],Doppel + 160phases [T2],Doppel + 160phases [T3],Doppel + 160phases [T4],Doppel + 160phases [T5]
1,586068.6543513915,580635.1601293718,579195.7362947756,584000.0510492286,589254.7576222286
2,982534.845810053,986887.9833607959,996366.7359462649,1.0098413455643089e+06,1.0252451820070783e+06
4,1.8773092814899075e+06,1.758049537920032e+06,2.0932861040729145e+06,1.9161131420252814e+06,1.768776884550886e+06
12,5.6207087706359485e+06,5.820666344035256e+06,5.868267993226632e+06,5.884833890771341e+06,5.77393056724247e+06
24,1.1105144103361597e+07,1.0985429498287259e+07,1.0912941032291993e+07,1.077283709485632e+07,1.0548941879159888e+07
32,1.2575021381721739e+07,1.3444287209257083e+07,1.2525505769194266e+07,1.3570354672427787e+07,1.2432212643776834e+07
40,1.4883575807617215e+07,1.412096013753792e+07,1.5787991725894298e+07,1.5415388497040715e+07,1.5327719348743437e+07
48,1.5844329447696824e+07,1.4775765862553392e+07,1.603936354332247e+07,1.6028169093836894e+07,1.686844110350271e+07
64,1.828953416040405e+07,1.6683084107980127e+07,1.8716494942666166e+07,1.800759435692378e+07,1.829243795782332e+07
