# Threads,Doppel + 20phases [T1],Doppel + 20phases [T2],Doppel + 20phases [T3],Doppel + 20phases [T4],Doppel + 20phases [T5]
1,580622.2656848853,581865.585811186,578295.9562223224,575105.879730312,581740.398931725
2,1.0190100453728583e+06,967933.7159342295,947337.5787423779,1.058215781189324e+06,1.0193044368142625e+06
4,2.0345624601493918e+06,1.9749713083327848e+06,1.9954081500645617e+06,1.896402950415519e+06,1.883799377423227e+06
12,6.178935492619131e+06,6.365787808450177e+06,6.17362466333304e+06,6.077084775964825e+06,5.89098314878534e+06
24,1.18655482414939e+07,1.157718901946286e+07,1.1967067918343345e+07,1.1872629524509395e+07,1.1474419437691195e+07
32,1.3788594003590599e+07,1.3309028275190951e+07,1.3668597610227004e+07,1.3432200828844143e+07,1.412145436803179e+07
40,1.6327395432873547e+07,1.633946791079816e+07,1.6579516453695444e+07,1.6824866313702893e+07,1.5464028690478923e+07
48,1.8043871782143246e+07,1.7716315955228172e+07,1.7876877135865614e+07,1.788736592528065e+07,1.8166774913324412e+07
64,1.880919624761508e+07,1.9306246840225894e+07,1.9109880501142677e+07,1.828111972133584e+07,1.9654656197912484e+07
