# Threads,Doppel + 90phases [T1],Doppel + 90phases [T2],Doppel + 90phases [T3],Doppel + 90phases [T4],Doppel + 90phases [T5]
1,585346.6344873309,584155.1210788899,581006.2310581593,586319.3636343766,576806.8039640052
2,993966.4142949248,962330.5987397054,980397.2764651095,1.0300289160141754e+06,1.0260127912176922e+06
4,2.0283602585138194e+06,2.0664571569419291e+06,2.0169476695127087e+06,2.0109468631407698e+06,1.857744417902257e+06
12,6.04762234798433e+06,6.041092327460729e+06,6.288394665579172e+06,6.04393760522829e+06,5.682643759804571e+06
24,1.1187885731860211e+07,1.1553885618373128e+07,1.0898802223242091e+07,1.1239037819270242e+07,1.1120331254434634e+07
32,1.3108751727829235e+07,1.359292057730924e+07,1.2349012137672005e+07,1.3294851435292603e+07,1.3098858774611846e+07
40,1.6434998468782118e+07,1.5709933140903318e+07,1.637458598819774e+07,1.6069335816802887e+07,1.6395720794519005e+07
48,1.8213620912258573e+07,1.803909955421916e+07,1.821873742414863e+07,1.818038733726576e+07,1.7662664615873992e+07
64,1.9214936268228024e+07,1.9305323073114157e+07,1.788914269452928e+07,1.9419710786891025e+07,1.8473781821552016e+07
